Feature Description,Release Date,,,,,,,,,,,,,,,,
"Picture-in-Picture now also supports video captions on websites that use WebVTT (Web Video Text Track) format, like Coursera.org, Canadian Broadcasting Corporation, and many more.",5/3/2022,,,,,,,,,,,,,,,,
"On the first run after install, Firefox detects when its language does not match the operating system language and offers the user a choice between the two languages.",5/3/2022,,,,,,,,,,,,,,,,
"Firefox spell checking now checks spelling in multiple languages. To enable additional languages, select them in the text field’s context menu.",5/3/2022,,,,,,,,,,,,,,,,
HDR video is now supported in Firefox on Mac—starting with YouTube! Firefox users on macOS 11+ (with HDR-compatible screens) can enjoy higher-fidelity video content. No need to manually flip any preferences to turn HDR video support on—just make sure battery preferences are NOT set to “optimize video streaming while on battery”.,5/3/2022,,,,,,,,,,,,,,,,
"Hardware accelerated AV1 video decoding is enabled on Windows with supported GPUs (Intel Gen 11+, AMD RDNA 2 Excluding Navi 24, GeForce 30). Installing the AV1 Video Extension from the Microsoft Store may also be required.",5/3/2022,,,,,,,,,,,,,,,,
"Video overlay is enabled on Windows for Intel GPUs, reducing power usage during video playback.",5/3/2022,,,,,,,,,,,,,,,,
Improved fairness between painting and handling other events. This noticeably improves the performance of the volume slider on Twitch.,5/3/2022,,,,,,,,,,,,,,,,
"Scrollbars on Linux and Windows 11 won't take space by default. On Linux, users can change this in Settings. On Windows, Firefox follows the system setting (System Settings > Accessibility > Visual Effects > Always show scrollbars).",5/3/2022,,,,,,,,,,,,,,,,
Firefox now supports credit card autofill and capture in the United Kingdom.,5/3/2022,,,,,,,,,,,,,,,,
"Firefox now ignores less restricted referrer policies—including unsafe-url, no-referrer-when-downgrade, and origin-when-cross-origin—for cross-site subresource/iframe requests to prevent privacy leaks from the referrer.",5/3/2022,,,,,,,,,,,,,,,,
"Firefox has a new focus indicator for links which replaces the old dotted outline with a solid blue outline. This change unifies the focus indicators across form fields and links, which makes it easier to identify the focused link, especially for users with low vision.",5/3/2022,,,,,,,,,,,,,,,,
New users can now set Firefox as the default PDF handler when setting Firefox as their default browser.,5/3/2022,,,,,,,,,,,,,,,,
"Some websites might not work correctly in Firefox version 100 due to Firefox's new three-digit number. You can read about it in our blog post here! See the Mozilla Support article Difficulties opening or using a website in Firefox 100 for possible workarounds you can use. There, you will also find instructions for reporting a broken website so that Mozilla can help fix the problem.",5/3/2022,,,,,,,,,,,,,,,,
"You can now toggle Narrate in ReaderMode with the keyboard shortcut ""n.""",4/5/2022,,,,,,,,,,,,,,,,
You can find added support for search—with or without diacritics—in the PDF viewer.,4/5/2022,,,,,,,,,,,,,,,,
The Linux sandbox has been strengthened: processes exposed to web content no longer have access to the X Window system (X11).,4/5/2022,,,,,,,,,,,,,,,,
Firefox now supports credit card autofill and capture in Germany and France.,4/5/2022,,,,,,,,,,,,,,,,
"Yandex and Mail.ru have been removed as optional search providers in the drop-down search menu in Firefox. If you previously installed a customized version of Firefox with Yandex or Mail.ru, offered through partner distribution channels, this release removes those customizations, including add-ons and default bookmarks. Where applicable, your browser will revert back to default settings, as offered by Mozilla. All other releases of Firefox remain unaffected by the change.",3/14/2022,,,,,,,,,,,,,,,,
"Firefox has a new optimized download flow. Instead of prompting every time, files will download automatically. You’ll find you have a number of options, including: Always Open Similar Files, Show In Folder, Go To Download Page, Copy Download Link, Delete, Remove From History, and Clear Preview Panel.",3/8/2022,,,,,,,,,,,,,,,,
"Firefox allows users to choose from a number of built-in search engines to set as their default. In this release, some users who had previously configured a default engine might notice their default search engine has changed since Mozilla was unable to secure formal permission to continue including certain search engines in Firefox.",3/8/2022,,,,,,,,,,,,,,,,
"On February 8, we expired the 18 colorway themes that shipped along with Firefox 94. This signals the end of a special, limited-time feature set. However, you can hold onto your favorite colorway, as long as you’re using it on the expiration date. In other words, if a colorway is “enabled” in the add-ons manager, that colorway is yours forever.",2/8/2022,,,,,,,,,,,,,,,,
"Beginning February 15, we are releasing 6 brand-new colorways in a special partner collaboration. U.S.-based fans of the film can visit truecolors.firefox.com to activate official Turning Red-inspired Colorways, available exclusively in Firefox for desktop through April 30, 2022. Firefox users who visit the “True Colors” campaign landing page will be able to modify how their web browser looks, with colors and moods inspired by some of the main characters in the film. To enjoy the new Colorways, you’ll need to make sure you upgrade to the latest Firefox 97 version. This collection will be available in the add-ons manager, within the Colorways section.",2/8/2022,,,,,,,,,,,,,,,,
Firefox now supports and displays the new style of scrollbars on Windows 11.,2/8/2022,,,,,,,,,,,,,,,,
"Support for directly generating PostScript for printing on Linux has been removed. Printing to PostScript printers still remains a supported option, however.",2/8/2022,,,,,,,,,,,,,,,,
We’ve made significant improvements in noise-suppression and auto-gain-control as well as slight improvements in echo-cancellation to provide you with a better overall experience.,1/11/2022,,,,,,,,,,,,,,,,
We’ve also significantly reduced main-thread load.,1/11/2022,,,,,,,,,,,,,,,,
"When printing, you can now choose to print only the odd/even pages.",1/11/2022,,,,,,,,,,,,,,,,
